episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
1,130.0,385,385,1.0,nan,0.1672174579980492,True,False
2,460.0,702,1087,0.2,0.025979083650533787,0.7142682909980067,True,False
3,430.0,506,1593,0.2,0.027948304171138628,3.9104893329968036,True,False
4,680.0,920,2513,0.2,0.026404508344737974,10.218921124996996,True,False
5,470.0,483,2996,0.2,0.024370704865090794,13.572083790997567,True,False
6,510.0,438,3434,0.2,0.027981129097389142,16.618262165997294,True,False
7,430.0,374,3808,0.2,0.03332692325521419,19.213911999999254,True,False
8,420.0,499,4307,0.2,0.0349430029464495,22.49084487499931,True,False
9,1370.0,977,5284,0.2,0.03812375779320695,29.277713207997294,True,False
10,190.0,412,5696,0.2,0.037070684252505745,32.15886912499991,True,False
11,430.0,499,6195,0.2,0.03764489433735669,33.690494582999236,True,False
12,320.0,371,6566,0.2,0.041920089433270115,34.78630266599794,True,False
13,440.0,508,7074,0.2,0.03867897511951215,37.247612249997474,True,False
14,460.0,450,7524,0.2,0.03508137413547827,40.31782799999928,True,False
15,1760.0,874,8398,0.2,0.04198361126761542,46.264087624997046,True,False
16,1280.0,775,9173,0.2,0.04383630412822762,51.60922233299789,True,False
17,850.0,606,9779,0.2,0.042186511344344216,55.48526120799943,True,False
18,870.0,758,10537,0.2,0.04350971866055931,60.19981666599779,True,False
19,2050.0,743,11280,0.2,0.04839603490226211,62.272921083000256,True,False
20,120.0,401,11681,0.2,0.04346023512538522,63.44847595799729,True,False
21,930.0,981,12662,0.2,0.047825812004810696,66.15617916599876,True,False
22,290.0,399,13061,0.2,0.047428547870367765,67.2796846659985,True,False
23,970.0,817,13878,0.2,0.04739098684570076,69.54346237499703,True,False
24,1320.0,884,14762,0.2,0.04382277455294665,72.21167458299897,True,False
25,480.0,510,15272,0.2,0.04256386229280906,73.64224941599969,True,False
26,490.0,649,15921,0.2,0.046316873229016765,78.69755220799925,True,False
27,880.0,834,16755,0.2,0.04503478335055451,83.9820621660001,True,False
28,310.0,396,17151,0.2,0.048422845849541554,85.17877849999786,True,False
29,550.0,534,17685,0.2,0.046781127507895676,86.66662858299969,True,False
